      DepSM      T090C      Sal00  Sigma-t00       FlSP    WetStar SeaTurbMtr       SvCM   Sbeox0PS Sbeox0Mg/L       Flag
      0.099    21.4131    24.6807    16.5517 4.8840e-02     0.2346      0.469    1513.94  100.24314    7.67587 0.0000e+00
      0.099    21.4143    24.6807    16.5514 1.8315e-01     0.2310      0.062    1513.94  100.24696    7.67598 0.0000e+00
      0.096    21.4150    24.6806    16.5512 1.8315e-01     0.2444      0.000    1513.94  100.25082    7.67618 0.0000e+00
      0.099    21.4156    24.6804    16.5509 4.8840e-01     0.2359      0.018    1513.94  100.25491    7.67643 0.0000e+00
      0.099    21.4145    24.6808    16.5515 4.8840e-01     0.2114      0.179    1513.94  100.25895    7.67687 0.0000e+00
      0.096    21.4138    24.6806    16.5515 5.9829e-01     0.2029      0.308    1513.94  100.26314    7.67730 0.0000e+00
      0.099    21.4137    24.6807    16.5515 9.7680e-01     0.2005      0.392    1513.94  100.26765    7.67765 0.0000e+00
      0.099    21.4138    24.6805    16.5514 8.9133e-01     0.2029      0.454    1513.94  100.26829    7.67770 0.0000e+00
      0.110    21.4140    24.6807    16.5515 6.4713e-01     0.2114      0.484    1513.94  100.26909    7.67772 0.0000e+00
      0.084    21.4140    24.6809    16.5516 7.2039e-01     0.2163      0.147    1513.94  100.26941    7.67774 0.0000e+00
      0.099    21.4143    24.6807    16.5514 7.0818e-01     0.2212      0.000    1513.94  100.27026    7.67777 0.0000e+00
      0.086    21.4142    24.6811    16.5517 6.7155e-01     0.2212      0.000    1513.94  100.32894    7.68226 0.0000e+00
      0.073    21.4149    24.6806    16.5512 7.3260e-01     0.2249      0.150    1513.94  100.33316    7.68251 0.0000e+00
      0.086    21.4148    24.6808    16.5513 7.0818e-01     0.2334      0.264    1513.94  100.33747    7.68284 0.0000e+00
      0.062    21.4147    24.6809    16.5515 4.7619e-01     0.2420      0.326    1513.94  100.34114    7.68313 0.0000e+00
      0.062    21.4149    24.6808    16.5513 4.0293e-01     0.2395      0.326    1513.94  100.34499    7.68341 0.0000e+00
      0.073    21.4149    24.6810    16.5515 4.8840e-01     0.2359      0.077    1513.94  100.40702    7.68815 0.0000e+00
      0.050    21.4154    24.6810    16.5513 0.0000e+00     0.2359      0.077    1513.94  100.47219    7.69306 0.0000e+00
      0.050    21.4149    24.6809    16.5514 0.0000e+00     0.2383      0.194    1513.94  100.48267    7.69394 0.0000e+00
      0.073    21.4143    24.6815    16.5520 0.0000e+00     0.2432      0.176    1513.94  100.49295    7.69478 0.0000e+00
      0.050    21.4143    24.6815    16.5520 3.1746e-01     0.2383      0.220    1513.94  100.50224    7.69550 0.0000e+00
      0.062    21.4140    24.6816    16.5522 8.0586e-01     0.2322      0.319    1513.94  100.51145    7.69624 0.0000e+00
      0.062    21.4138    24.6815    16.5521 1.2454e+00     0.2334      0.344    1513.94  100.52005    7.69693 0.0000e+00
      0.049    21.4136    24.6817    16.5523 1.3065e+00     0.2359      0.278    1513.94  100.52801    7.69755 0.0000e+00
      0.062    21.4136    24.6816    16.5522 8.7912e-01     0.2359      0.000    1513.94  100.53583    7.69816 0.0000e+00
      0.075    21.4129    24.6819    16.5527 6.2271e-01     0.2371      0.000    1513.94  100.54310    7.69880 0.0000e+00
      0.073    21.4128    24.6815    16.5524 8.7912e-01     0.2371      0.000    1513.94  100.54977    7.69935 0.0000e+00
      0.075    21.4129    24.6809    16.5519 1.4530e+00     0.2359      0.029    1513.94  100.55603    7.69984 0.0000e+00
      0.086    21.4131    24.6808    16.5518 1.7949e+00     0.2322      0.231    1513.94  100.56194    7.70026 0.0000e+00
      0.086    21.4129    24.6811    16.5521 1.4652e+00     0.2383      0.227    1513.94  100.56719    7.70068 0.0000e+00
      0.096    21.4131    24.6809    16.5519 9.2796e-01     0.2505      0.000    1513.94  100.51391    7.69658 0.0000e+00
      0.099    21.4131    24.6810    16.5519 1.2210e-02     0.2481      0.000    1513.94  100.51858    7.69693 0.0000e+00
      0.099    21.4129    24.6810    16.5520 0.0000e+00     0.2420      0.000    1513.94  100.51904    7.69700 0.0000e+00
      0.109    21.4132    24.6806    16.5516 7.3260e-02     0.2395      0.000    1513.94  100.51935    7.69700 0.0000e+00
      0.110    21.4136    24.6807    16.5515 1.7094e-01     0.2383      0.000    1513.94  100.51925    7.69693 0.0000e+00
      0.110    21.4135    24.6805    16.5515 4.5177e-01     0.2334      0.000    1513.94  100.51875    7.69692 0.0000e+00
      0.122    21.4133    24.6805    16.5515 6.8376e-01     0.2334      0.055    1513.94  100.51808    7.69689 0.0000e+00
      0.120    21.4133    24.6805    16.5515 1.0379e+00     0.2383      0.256    1513.94  100.57515    7.70126 0.0000e+00
      0.110    21.4124    24.6808    16.5519 8.3028e-01     0.2371      0.381    1513.94  100.57718    7.70153 0.0000e+00
      0.110    21.4124    24.6807    16.5519 5.8608e-01     0.2371      0.436    1513.94  100.57894    7.70166 0.0000e+00
      0.109    21.4131    24.6808    16.5518 3.5409e-01     0.2334      0.454    1513.94  100.57626    7.70137 0.0000e+00
      0.110    21.4149    24.6799    16.5506 4.3956e-01     0.2310      0.469    1513.94  100.57711    7.70122 0.0000e+00
      0.099    21.4157    24.6794    16.5500 5.4945e-01     0.2322      0.476    1513.94  100.63144    7.70528 0.0000e+00
      0.086    21.4159    24.6800    16.5505 5.3724e-01     0.2322      0.491    1513.94  100.63449    7.70546 0.0000e+00
      0.084    21.4154    24.6803    16.5508 9.1575e-01     0.2322      0.509    1513.94  100.63697    7.70571 0.0000e+00
      0.062    21.4149    24.6806    16.5512 1.1477e+00     0.2346      0.531    1513.94  100.69277    7.71005 0.0000e+00
      0.062    21.4142    24.6808    16.5515 9.4017e-01     0.2432      0.542    1513.94  100.69350    7.71019 0.0000e+00
      0.049    21.4141    24.6806    16.5514 6.3492e-01     0.2359      0.549    1513.94  100.69317    7.71018 0.0000e+00
      0.050    21.4135    24.6811    16.5519 3.7851e-01     0.2237      0.538    1513.94  100.69600    7.71047 0.0000e+00
      0.014    21.4131    24.6812    16.5521 3.0525e-01     0.2322      0.491    1513.94  100.69760    7.71063 0.0000e+00
      0.013    21.4129    24.6811    16.5520 2.5641e-01     0.2334      0.355    1513.94  100.69883    7.71076 0.0000e+00
      0.014    21.4119    24.6812    16.5524 6.1050e-01     0.2273      0.326    1513.93  100.75744    7.71539 0.0000e+00
     -0.010    21.4119    24.6813    16.5524 1.0012e+00     0.2200      0.392    1513.93  100.76049    7.71562 0.0000e+00
     -0.010    21.4118    24.6814    16.5526 1.0256e+00     0.2114      0.462    1513.93  100.76288    7.71581 0.0000e+00
